digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,anchored_ratio,gt_median,gt_std,gt_spread,AbsRel_ds,delta1_ds,ds_strata,pen,pen_ds
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,200,29277,0.048793,0.022062,0.255851,0.098258,0.022068,0.967502,0.987393,0.994916,1.014679,2.398276,0.979031,2.655145,1.232510,0.732576,0.059046,0.956405,3.900000,1.8290,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,200,46487,0.054009,0.021430,0.223384,0.104743,0.023229,0.963562,0.983021,0.992395,1.007948,2.344853,0.966369,2.305818,1.239051,0.838163,0.058089,0.958174,4.000000,1.8290,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,200,66249,0.066472,0.022767,0.209008,0.111388,0.027561,0.959204,0.981427,0.990573,0.983121,2.251322,0.940789,1.957153,1.170799,0.900137,0.063792,0.960316,4.000000,1.8290,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,200,35412,0.099827,0.037594,0.273145,0.191999,0.044081,0.944381,0.974824,0.984266,0.945667,2.136489,0.903859,1.697120,1.084848,0.946042,0.096217,0.943593,3.990000,1.8290,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,200,7745,0.044954,0.028868,0.248656,0.092239,0.019645,0.968655,0.985828,0.993090,0.990720,2.499740,0.988765,3.006243,0.719691,0.420979,0.072181,0.939741,2.705000,0.9998,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,200,25247,0.041233,0.022280,0.242592,0.088121,0.018087,0.972732,0.988872,0.995836,0.991187,2.502001,0.987206,2.871138,1.078878,0.612891,0.049778,0.966807,3.670000,0.9998,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,200,50035,0.039903,0.018640,0.218560,0.086506,0.017278,0.974740,0.989371,0.995909,0.993966,2.505277,0.985093,2.653490,1.233133,0.733384,0.048527,0.966879,3.975000,0.9998,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,200,92347,0.046917,0.020473,0.203405,0.098146,0.019181,0.966772,0.984450,0.993655,0.996158,2.505498,0.981277,2.300413,1.238501,0.838882,0.048018,0.965166,4.000000,0.9998,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,200,83851,0.049302,0.019733,0.182599,0.097620,0.019883,0.965192,0.984372,0.993668,0.999375,2.509488,0.978378,1.987488,1.167471,0.892960,0.046515,0.966028,4.000000,0.9998,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,200,2874,0.044945,0.014157,0.124796,0.072037,0.018592,0.971568,0.989261,0.996839,1.003210,2.514903,0.975812,1.927020,1.014322,0.638383,0.053851,0.954467,2.930000,0.9998,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,200,4944,0.117148,0.221028,0.535415,0.159515,0.048712,0.904398,0.962552,0.977694,1.019774,0.757517,1.004931,3.000880,0.719866,0.424477,0.124793,0.908541,2.655000,1.0041,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,200,16022,0.115473,0.557061,0.686870,0.150279,0.045491,0.914558,0.972704,0.984186,1.022446,0.799233,0.995474,2.871683,1.078285,0.610150,0.105997,0.920758,3.530000,1.0041,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,200,29952,0.110096,0.427607,0.683290,0.142699,0.043594,0.917500,0.974984,0.987935,1.021420,0.853430,0.975123,2.654723,1.232538,0.732756,0.112062,0.914699,3.905000,1.0041,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,200,47588,0.106287,0.262597,0.593035,0.140672,0.042587,0.911206,0.974405,0.989139,1.010834,0.912515,0.953167,2.306340,1.239038,0.838030,0.107833,0.907958,4.000000,1.0041,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,200,67824,0.105386,0.154117,0.499840,0.144905,0.043178,0.900624,0.973658,0.989512,0.988875,0.958172,0.928664,1.957265,1.170777,0.899930,0.111020,0.897212,4.000000,1.0041,
