model,dataset,protocol,arm,context,pos_name,pos_lo,pos_hi,depth_lo,depth_hi,n,AbsRel,SqRel,delta1,gt_mean,gt_std,scale_ratio
oracle,aea,radial,raw,1,theta,40.0,50.0,0.7978515625,1.1259765625,38082.0,0.1191185737576057,0.021397881142626137,0.8681791922693136,0.966548836536126,0.09497070034220745,1.3362354615172496
oracle,aea,radial,raw,1,theta,40.0,50.0,1.1259765625,1.474609375,44518.0,0.08949784720093748,0.016168197339916205,0.9511208949189092,1.295130709067119,0.1001352717036921,1.5560810673982193
oracle,aea,radial,raw,1,theta,40.0,50.0,1.474609375,2.18359375,39816.0,0.06810879093709285,0.012490712305167474,0.9860608800482218,1.731155159436533,0.19739031361889595,1.7659773867079018
oracle,aea,radial,raw,1,theta,40.0,50.0,2.18359375,inf,20054.0,0.043966317240396104,0.008525621769199533,0.999202154183704,2.955709038720455,1.9524315654165436,2.0960042428470054
oracle,aea,radial,raw,1,theta,50.0,55.0,0.0,0.7978515625,26590.0,0.2199383827747851,0.03972580451933618,0.6314403911244829,0.5697590679098404,0.15825304623709496,0.9292567074060929
oracle,aea,radial,raw,1,theta,50.0,55.0,0.7978515625,1.1259765625,28845.0,0.1196654337448523,0.021852592864469847,0.865903969492113,0.9744405205895735,0.09466898099371245,1.3424521343895486
oracle,aea,radial,raw,1,theta,50.0,55.0,1.1259765625,1.474609375,20361.0,0.09244324428359556,0.016859462943267248,0.9439123815136781,1.2650920897334366,0.09663601409888262,1.5396260714285201
oracle,aea,radial,raw,1,theta,50.0,55.0,1.474609375,2.18359375,11672.0,0.06875461986251247,0.012748965734525287,0.9850068540095956,1.744504995261095,0.19582862770727907,1.7720175532758968
oracle,aea,radial,raw,1,theta,50.0,55.0,2.18359375,inf,5158.0,0.04421573530779477,0.00844259653488572,0.9992245056223342,3.092590166367778,3.526698731399881,2.0935124588915213
oracle,aea,radial,raw,1,theta,55.0,60.0,0.0,0.7978515625,9915.0,0.23304207481350897,0.04271423756539824,0.610791729702471,0.5570715030395077,0.16039399267369,0.9110281382227254
oracle,aea,radial,raw,1,theta,55.0,60.0,0.7978515625,1.1259765625,9502.0,0.11902896824959058,0.021243688441392707,0.8692906756472322,0.9688975840612503,0.08937739743609566,1.3405997219137087
oracle,aea,radial,raw,1,theta,55.0,60.0,1.1259765625,1.474609375,4497.0,0.09194955003333362,0.01677688627308765,0.9435179008227708,1.2734472721397598,0.10443754416020237,1.5451751785916663
oracle,aea,radial,raw,1,theta,55.0,60.0,1.474609375,2.18359375,2764.0,0.06706147192157935,0.012278344325112517,0.9873371924746743,1.7473148064399422,0.19349528991425285,1.7753123767683845
oracle,aea,radial,raw,1,theta,55.0,60.0,2.18359375,inf,1146.0,0.04308216694574146,0.0091689802325182,0.9956369982547993,3.0043834533158815,2.423357611897336,2.0824451630646847
