model,dataset,protocol,arm,context,pos_name,pos_lo,pos_hi,depth_lo,depth_hi,n,AbsRel,SqRel,delta1,gt_mean,gt_std,scale_ratio
vggt_1b,nymeria,radial,raw,1,theta,0.0,10.0,2.763671875,inf,23098.0,0.07614606505411124,0.11488605499404592,0.9267036107022253,3.684933574470733,1.4303858265992027,2.7668795990652195
vggt_1b,nymeria,radial,raw,1,theta,10.0,20.0,0.0,0.75048828125,7852.0,0.2530150607116174,0.24834596167394551,0.7758532857870606,0.581125019401904,0.13767920108941345,0.6664799056900194
vggt_1b,nymeria,radial,raw,1,theta,10.0,20.0,0.75048828125,1.265625,15300.0,0.11922226753588033,0.05967640941546326,0.8935294117647059,0.9848264527165033,0.1526302716858351,1.069432408155157
vggt_1b,nymeria,radial,raw,1,theta,10.0,20.0,1.265625,1.77734375,19395.0,0.08950766533933037,0.04394136675162637,0.9448311420469193,1.5259471573698118,0.13092920895936952,1.8140411275382191
vggt_1b,nymeria,radial,raw,1,theta,10.0,20.0,1.77734375,2.763671875,22616.0,0.08598131783565256,0.05566267075577353,0.9176246904846127,2.2679398883810133,0.28383380368189115,2.1652332533775422
vggt_1b,nymeria,radial,raw,1,theta,10.0,20.0,2.763671875,inf,42100.0,0.08363476028622938,0.1240406883575679,0.9200712589073634,3.9927971904691213,1.540271201946742,2.8241047534252495
vggt_1b,nymeria,radial,raw,1,theta,20.0,30.0,0.0,0.75048828125,13430.0,0.25016894979752474,0.1253854367067292,0.6801935964259122,0.5665768393987342,0.14521814529482957,0.7735883951808877
vggt_1b,nymeria,radial,raw,1,theta,20.0,30.0,0.75048828125,1.265625,20283.0,0.11823913634601926,0.03964902323842546,0.8898585021939556,0.9806946309332323,0.1464835061227791,1.1747268662428179
vggt_1b,nymeria,radial,raw,1,theta,20.0,30.0,1.265625,1.77734375,21592.0,0.07703506011621829,0.02857130432835159,0.9566969247869581,1.5337969231225685,0.13385366710499694,1.7750342950313847
vggt_1b,nymeria,radial,raw,1,theta,20.0,30.0,1.77734375,2.763671875,22813.0,0.07850635600983578,0.04153338426740288,0.935738394774909,2.222163538196423,0.28509905951227005,2.041080399789954
vggt_1b,nymeria,radial,raw,1,theta,20.0,30.0,2.763671875,inf,32133.0,0.10092249200370777,0.13319038502274333,0.9035259701864127,3.884821544926555,1.2838388958127642,2.6956281691870565
vggt_1b,nymeria,radial,raw,1,theta,30.0,40.0,0.0,0.75048828125,25132.0,0.25999678461636394,0.10022681400519741,0.6198472067483686,0.5452815676198423,0.1468954093002752,0.9245549172197917
vggt_1b,nymeria,radial,raw,1,theta,30.0,40.0,0.75048828125,1.265625,23496.0,0.1386475741337512,0.05665814540105136,0.8307371467483827,0.9858478861761044,0.15286776762341506,1.1936743321578962
vggt_1b,nymeria,radial,raw,1,theta,30.0,40.0,1.265625,1.77734375,24333.0,0.09845726991462214,0.04320190577715143,0.9091357415855011,1.535949403523507,0.14597960254115125,1.703087574614462
vggt_1b,nymeria,radial,raw,1,theta,30.0,40.0,1.77734375,2.763671875,31060.0,0.10321315737262413,0.0575924996223921,0.9056020605280103,2.2110257867836447,0.2891202590874025,2.0248033646647934
vggt_1b,nymeria,radial,raw,1,theta,30.0,40.0,2.763671875,inf,15984.0,0.13731938723431844,0.2034564274681295,0.8325825825825826,3.5974969109734736,1.416049726884142,2.55339289825271
vggt_1b,nymeria,radial,raw,1,theta,40.0,50.0,0.0,0.75048828125,38608.0,0.2720414664670227,0.07885545838222621,0.568690426854538,0.5036765271284449,0.14801022044659792,0.9185585499400951
vggt_1b,nymeria,radial,raw,1,theta,40.0,50.0,0.75048828125,1.265625,30393.0,0.14411934020355585,0.046462521493827104,0.8215049517981114,1.0043346066271428,0.14812195874120476,1.216185807437874
vggt_1b,nymeria,radial,raw,1,theta,40.0,50.0,1.265625,1.77734375,29259.0,0.11332051986564597,0.04094663489294946,0.8945623568816432,1.5127974111598141,0.1463862153848559,1.6425529747421281
vggt_1b,nymeria,radial,raw,1,theta,40.0,50.0,1.77734375,2.763671875,23679.0,0.13797841156380924,0.07658155799678602,0.8392668609316272,2.133267643534355,0.2557532908534892,1.8926912568977423
vggt_1b,nymeria,radial,raw,1,theta,40.0,50.0,2.763671875,inf,4203.0,0.2563990193693125,0.6341752485825307,0.5429455151082561,3.890919153729479,2.3996991447624803,2.5494875283878837
vggt_1b,nymeria,radial,raw,1,theta,50.0,55.0,0.0,0.75048828125,23136.0,0.28953635925073284,0.07970444882358944,0.559560857538036,0.48547654791656536,0.14883645256133116,0.865233233939816
vggt_1b,nymeria,radial,raw,1,theta,50.0,55.0,0.75048828125,1.265625,17984.0,0.1673545527963886,0.05371797519173202,0.7702402135231317,1.0112701633222587,0.1527522146572805,1.2774224285316302
vggt_1b,nymeria,radial,raw,1,theta,50.0,55.0,1.265625,1.77734375,13829.0,0.16136657763058548,0.059722466234291366,0.7887048955094367,1.4831002219068623,0.14207156324477105,1.598417875569743
vggt_1b,nymeria,radial,raw,1,theta,50.0,55.0,1.77734375,2.763671875,5796.0,0.19047659003744255,0.12231959839645652,0.6613181504485852,2.0929040165092303,0.24176752183225195,1.6925932178094762
vggt_1b,nymeria,radial,raw,1,theta,50.0,55.0,2.763671875,inf,918.0,0.3402081457753697,0.9803418558041748,0.4106753812636166,3.966292636846405,2.0408843392992195,2.959288557708858
vggt_1b,nymeria,radial,raw,1,theta,55.0,60.0,0.0,0.75048828125,7090.0,0.32550426691927625,0.0913370854099844,0.5036671368124118,0.47126767867374825,0.15376312625763325,0.8589360710436026
vggt_1b,nymeria,radial,raw,1,theta,55.0,60.0,0.75048828125,1.265625,6056.0,0.19755342589232888,0.06741703348654124,0.6948480845442536,1.017562805740175,0.15222319311900373,1.252947554733321
vggt_1b,nymeria,radial,raw,1,theta,55.0,60.0,1.265625,1.77734375,3359.0,0.1944962032044474,0.08239024212200398,0.6891932122655552,1.44852768448571,0.1372874283702512,1.5404353839263927
vggt_1b,nymeria,radial,raw,1,theta,55.0,60.0,1.77734375,2.763671875,1343.0,0.22190303331942168,0.15658757609614585,0.5539836187639613,2.0614405423957556,0.23226307644858868,1.594096740238039
vggt_1b,nymeria,radial,raw,1,theta,55.0,60.0,2.763671875,inf,270.0,0.35532261284347194,1.073526707639183,0.34444444444444444,3.965625,2.473456000262023,2.8180771196283776
vggt_omega,aea,radial,raw,1,theta,0.0,10.0,0.0,0.7978515625,7406.0,0.27980738817716444,0.2165431780725953,0.6890359168241966,0.5577596303356231,0.14339288562725933,0.7006082943193486
vggt_omega,aea,radial,raw,1,theta,0.0,10.0,0.7978515625,1.1259765625,7183.0,0.09418908762714137,0.048242835626781354,0.8812473896700543,0.9469870538511068,0.10045126045635248,1.0058378286178262
vggt_omega,aea,radial,raw,1,theta,0.0,10.0,1.1259765625,1.474609375,8213.0,0.08026606811986246,0.04458478153604863,0.950200901010593,1.2707314718281992,0.09964457744549149,1.1746928886579868
vggt_omega,aea,radial,raw,1,theta,0.0,10.0,1.474609375,2.18359375,5539.0,0.06710351805324491,0.031051604520388503,0.9398808449178552,1.8252369208679364,0.2229979221891674,1.4677725139123508
vggt_omega,aea,radial,raw,1,theta,0.0,10.0,2.18359375,inf,14849.0,0.09247532903963142,0.22553524103260722,0.9080072732170517,3.701365753796552,2.3986566416314057,1.9988250863649517
vggt_omega,aea,radial,raw,1,theta,10.0,20.0,0.0,0.7978515625,16968.0,0.2721027638856005,0.30762746105610855,0.7676214049976426,0.5354331096125796,0.15288458516586645,0.6829541418733438
vggt_omega,aea,radial,raw,1,theta,10.0,20.0,0.7978515625,1.1259765625,16815.0,0.08989593997075002,0.07164988885936277,0.9166815343443354,0.9721738054750223,0.09460863666118999,1.0678083337695456
vggt_omega,aea,radial,raw,1,theta,10.0,20.0,1.1259765625,1.474609375,20224.0,0.0730433607654775,0.03252824477160385,0.9549545094936709,1.2784316630303105,0.09767151654414293,1.1669203216636284
vggt_omega,aea,radial,raw,1,theta,10.0,20.0,1.474609375,2.18359375,17686.0,0.06296237829962004,0.03429911664551373,0.9561234875042406,1.813370270358617,0.2178398678459614,1.4643980635575238
vggt_omega,aea,radial,raw,1,theta,10.0,20.0,2.18359375,inf,35019.0,0.09236867600429456,0.19064359981170548,0.9072789057368857,3.5966328658192697,2.036490505585636,2.0204150816014654
vggt_omega,aea,radial,raw,1,theta,20.0,30.0,0.0,0.7978515625,18365.0,0.2567791195350034,0.225159388532303,0.7866049550775932,0.530507282077406,0.1699021844729646,0.6666405810048348
vggt_omega,aea,radial,raw,1,theta,20.0,30.0,0.7978515625,1.1259765625,19622.0,0.08130683734658241,0.0335898973135822,0.9214657017633269,0.9631607449148277,0.09842012134695417,1.1509342910510052
